date,m3 yield,m6 yield,y1 yield,y5 yield,y5 inflation indexed,y10 yield,y10 inflation indexed,m3 secondary,m6 secondary,spy,eur_usd
2004-10-01,1.71,2.00,2.21,3.44,1.09,4.21,1.83,1.67,1.95,81.6903305053711,
2004-10-04,1.71,2.04,2.25,3.44,1.13,4.19,1.86,1.69,2.00,81.826904296875,1.2316029071807861
2004-10-05,1.71,2.03,2.23,3.44,1.11,4.18,1.84,1.68,1.98,81.87002563476562,1.2280938625335693
2004-10-06,1.71,2.04,2.26,3.51,1.18,4.23,1.90,1.68,1.99,82.43065643310547,1.229906439781189
2004-10-07,1.70,2.03,2.26,3.53,1.18,4.26,1.89,1.67,1.98,81.54656219482422,1.2410026788711548
2004-10-08,1.71,2.01,2.21,3.39,1.07,4.15,1.78,1.67,1.96,80.87089538574219,
2004-10-11,,,,,,,,,,81.20154571533203,1.232103705406189
2004-10-12,1.72,2.02,2.20,3.35,1.04,4.12,1.75,1.69,1.97,80.8852767944336,1.234903335571289
2004-10-13,1.72,2.00,2.17,3.32,1.00,4.09,1.72,1.69,1.95,80.17365264892578,1.2388964891433716
2004-10-14,1.74,1.99,2.15,3.26,0.94,4.03,1.68,1.71,1.94,79.52677154541016,1.2478941679000854
2004-10-15,1.76,2.00,2.18,3.31,0.97,4.07,1.70,1.72,1.95,79.972412109375,
2004-10-18,1.81,2.05,2.21,3.31,0.99,4.07,1.71,1.78,2.00,80.27429962158203,1.2518935203552246
2004-10-19,1.82,2.05,2.22,3.32,0.99,4.07,1.70,1.79,2.00,79.5986328125,1.2578933238983154
2004-10-20,1.82,2.04,2.20,3.26,0.92,4.01,1.66,1.79,1.99,79.44053649902344,1.2620048522949219
2004-10-21,1.85,2.06,2.23,3.29,0.85,4.01,1.62,1.81,2.01,79.95801544189453,1.2690999507904053
2004-10-22,1.85,2.07,2.23,3.26,0.83,4.00,1.64,1.81,2.02,79.0595703125,
2004-10-25,1.90,2.10,2.24,3.25,0.83,3.99,1.63,1.87,2.05,78.96610260009766,1.2765034437179565
2004-10-26,1.91,2.10,2.24,3.26,0.81,4.01,1.63,1.88,2.05,80.17365264892578,1.270599603652954
2004-10-27,1.92,2.13,2.30,3.37,0.90,4.11,1.73,1.88,2.08,81.13684844970703,
2004-10-28,1.91,2.14,2.29,3.34,0.85,4.09,1.68,1.87,2.09,81.3812026977539,1.2791976928710938
2004-10-29,1.91,2.13,2.28,3.30,0.81,4.05,1.63,1.87,2.08,81.36685943603516,
2004-11-01,1.99,2.20,2.34,3.36,0.84,4.11,1.67,1.96,2.15,81.58967590332031,1.2745997905731201
2004-11-02,1.97,2.19,2.33,3.34,0.78,4.10,1.61,1.94,2.14,81.61845397949219,1.2720056772232056
2004-11-03,1.96,2.18,2.32,3.35,0.78,4.09,1.61,1.92,2.13,82.64630126953125,1.282495141029358
2004-11-04,1.98,2.19,2.34,3.37,0.84,4.10,1.65,1.94,2.14,83.77482604980469,1.2872995138168335
2004-11-05,2.03,2.27,2.44,3.51,0.91,4.21,1.71,1.99,2.21,84.29952239990234,1.2966973781585693
2004-11-08,2.07,2.30,2.47,3.51,0.92,4.22,1.72,2.04,2.25,84.1773452758789,1.2908055782318115
2004-11-09,2.08,2.29,2.46,3.53,0.96,4.22,1.74,2.04,2.24,84.01199340820312,1.2899065017700195
2004-11-10,2.08,2.29,2.47,3.56,0.97,4.25,1.75,2.04,2.24,84.07669067382812,1.2885932922363281
2004-11-11,,,,,,,,,,84.71644592285156,1.2910054922103882
2004-11-12,2.08,2.31,2.49,3.53,0.94,4.20,1.71,2.04,2.25,85.38490295410156,1.2970000505447388
2004-11-15,2.12,2.34,2.53,3.53,0.91,4.20,1.67,2.09,2.29,85.59466552734375,1.2939958572387695
2004-11-16,2.14,2.36,2.54,3.56,0.92,4.21,1.68,2.10,2.30,84.98191833496094,1.2961931228637695
2004-11-17,2.13,2.33,2.50,3.47,0.86,4.14,1.63,2.09,2.27,85.48654174804688,1.303797960281372
2004-11-18,2.13,2.34,2.51,3.48,0.88,4.12,1.64,2.09,2.28,85.60189056396484,1.29490065574646
2004-11-19,2.15,2.36,2.56,3.57,0.93,4.20,1.67,2.10,2.30,84.6502914428711,1.3039000034332275
2004-11-22,2.20,2.43,2.60,3.56,0.89,4.18,1.62,2.16,2.37,85.05399322509766,1.3040019273757935
2004-11-23,2.19,2.41,2.60,3.58,0.93,4.19,1.65,2.15,2.35,85.18372344970703,1.309706211090088
2004-11-24,2.18,2.40,2.60,3.61,0.93,4.20,1.64,2.14,2.34,85.38561248779297,1.317800760269165
2004-11-25,,,,,,,,,,,1.3258028030395508
2004-11-26,2.21,2.40,2.61,3.64,0.94,4.24,1.66,2.16,2.34,85.32073974609375,1.329504370689392
2004-11-29,2.23,2.46,2.66,3.72,0.98,4.34,1.74,2.20,2.40,84.93142700195312,1.32650625705719
2004-11-30,2.23,2.44,2.63,3.72,0.96,4.36,1.75,2.19,2.38,84.98909759521484,1.3298048973083496
2004-12-01,2.22,2.40,2.60,3.72,0.99,4.38,1.79,2.18,2.34,85.95514678955078,1.3345967531204224
2004-12-02,2.22,2.41,2.62,3.75,1.03,4.40,1.83,2.18,2.35,86.02725219726562,1.3261016607284546
