date,m6 yield,y5 yield,y10 yield,spy,eur_usd,CPI,GDP,FFER,y,class,dir
2007-01-18,5.16,4.75,4.75,107.00901794433594,1.2960922718048096,2.075643,0.235493107,5.24,1.2968990802764893,40,1.0
2007-01-19,5.17,4.78,4.78,107.2192153930664,1.2968990802764893,2.075643,0.235493107,5.24,1.2950012683868408,40,-1.0
2007-01-22,5.18,4.77,4.76,106.888916015625,1.2950012683868408,2.075643,0.235493107,5.24,1.3023037910461426,40,1.0
2007-01-23,5.18,4.81,4.81,107.20420837402344,1.3023037910461426,2.075643,0.235493107,5.24,1.29629385471344,40,-1.0
2007-01-24,5.17,4.81,4.81,108.06752014160156,1.29629385471344,2.075643,0.235493107,5.25,1.2939958572387695,40,-1.0
2007-01-25,5.18,4.85,4.87,106.79879760742188,1.2939958572387695,2.075643,0.235493107,5.25,1.2928917407989502,40,-1.0
2007-01-26,5.18,4.87,4.88,106.70121765136719,1.2928917407989502,2.075643,0.235493107,5.25,1.29629385471344,40,1.0
2007-01-29,5.19,4.89,4.9,106.64116668701172,1.29629385471344,2.075643,0.235493107,5.25,1.2965964078903198,40,1.0
2007-01-30,5.18,4.86,4.88,107.1966781616211,1.2965964078903198,2.075643,0.235493107,5.25,1.3023037910461426,40,1.0
2007-01-31,5.16,4.82,4.83,107.91739654541016,1.3023037910461426,2.075643,0.235493107,5.27,1.3018969297409058,40,-1.0
2007-02-01,5.16,4.84,4.84,108.56300354003906,1.3018969297409058,2.415199,0.235493107,5.27,1.2963947057724,40,-1.0
2007-02-02,5.16,4.82,4.83,108.71315002441406,1.2963947057724,2.415199,0.235493107,5.27,1.2931926250457764,40,-1.0
2007-02-05,5.16,4.8,4.81,108.74317169189453,1.2931926250457764,2.415199,0.235493107,5.27,1.2983977794647217,40,1.0
2007-02-06,5.16,4.76,4.77,108.77322387695312,1.2983977794647217,2.415199,0.235493107,5.27,1.3023037910461426,40,1.0
